,Date,Time,Off.Wrist.Status,Activity,Marker,White.Light,Red.Light,Green.Light,Blue.Light,Sleep.Wake,Interval.Status
73,4/8/2021,6:00:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
74,4/8/2021,6:10:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
75,4/8/2021,6:20:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
76,4/8/2021,6:30:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
77,4/8/2021,6:40:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
78,4/8/2021,6:50:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
79,4/8/2021,7:00:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
80,4/8/2021,7:10:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
81,4/8/2021,7:20:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
82,4/8/2021,7:30:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
83,4/8/2021,7:40:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
84,4/8/2021,7:50:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
85,4/8/2021,8:00:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
86,4/8/2021,8:10:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
87,4/8/2021,8:20:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
88,4/8/2021,8:30:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
89,4/8/2021,8:40:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
90,4/8/2021,8:50:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
91,4/8/2021,9:00:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
92,4/8/2021,9:10:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
93,4/8/2021,9:20:00 AM,0,NA,0,NA,NA,NA,NA,NA,NA
94,4/8/2021,9:30:00 AM,0.6,NA,0,NA,NA,NA,NA,NA,NA
95,4/8/2021,9:40:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
96,4/8/2021,9:50:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
97,4/8/2021,10:00:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
98,4/8/2021,10:10:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
99,4/8/2021,10:20:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
100,4/8/2021,10:30:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
101,4/8/2021,10:40:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
102,4/8/2021,10:50:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
103,4/8/2021,11:00:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
104,4/8/2021,11:10:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
105,4/8/2021,11:20:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
106,4/8/2021,11:30:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
107,4/8/2021,11:40:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
108,4/8/2021,11:50:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
109,4/8/2021,12:00:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
110,4/8/2021,12:10:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
111,4/8/2021,12:20:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
112,4/8/2021,12:30:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
113,4/8/2021,12:40:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
114,4/8/2021,12:50:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
